"parameter1","parameter2","effectsize","estimate","conf.level","conf.low","conf.high","statistic","df.error","p.value","method","n.obs","conf.method","expression","common_name","time_of_day"
"time_from_startTime","detections","Pearson correlation","-0.0351235254726033","0.95","-0.150093633795473","0.0807838430747616","-0.594359446164553","286","0.552741595806296","Pearson correlation","288","normal","list(italic(""t"")[""Student""] * ""("" * 286 * "")"" == ""-0.59"", italic(p) == ""0.55"", widehat(italic(""r""))[""Pearson""] == ""-0.04"", CI[""95%""] ~ ""["" * ""-0.15"", ""0.08"" * ""]"", italic(""n"")[""pairs""] == ""288"")","Indian Scimitar-Babbler","dawn"
"time_from_startTime","detections","Pearson correlation","-0.142167432307981","0.95","-0.282173965067438","0.00376846632929196","-1.92158891057109","179","0.0562460228015262","Pearson correlation","181","normal","list(italic(""t"")[""Student""] * ""("" * 179 * "")"" == ""-1.92"", italic(p) == ""0.06"", widehat(italic(""r""))[""Pearson""] == ""-0.14"", CI[""95%""] ~ ""["" * ""-0.28"", ""3.77e-03"" * ""]"", italic(""n"")[""pairs""] == ""181"")","Indian Scimitar-Babbler","dusk"
"time_from_startTime","detections","Pearson correlation","0.14062723420051","0.95","0.0357220931919943","0.242466968269777","2.63442594580621","344","0.00880895810130265","Pearson correlation","346","normal","list(italic(""t"")[""Student""] * ""("" * 344 * "")"" == ""2.63"", italic(p) == ""8.81e-03"", widehat(italic(""r""))[""Pearson""] == ""0.14"", CI[""95%""] ~ ""["" * ""0.04"", ""0.24"" * ""]"", italic(""n"")[""pairs""] == ""346"")","Nilgiri Flowerpecker","dawn"
"time_from_startTime","detections","Pearson correlation","0.138387178563446","0.95","0.0372320208357273","0.236735112886077","2.68779191183338","370","0.00751750509155233","Pearson correlation","372","normal","list(italic(""t"")[""Student""] * ""("" * 370 * "")"" == ""2.69"", italic(p) == ""7.52e-03"", widehat(italic(""r""))[""Pearson""] == ""0.14"", CI[""95%""] ~ ""["" * ""0.04"", ""0.24"" * ""]"", italic(""n"")[""pairs""] == ""372"")","Nilgiri Flowerpecker","dusk"
"time_from_startTime","detections","Pearson correlation","0.174400800850415","0.95","0.0756451779837414","0.269768331375899","3.4616834796627","382","0.000597502215246528","Pearson correlation","384","normal","list(italic(""t"")[""Student""] * ""("" * 382 * "")"" == ""3.46"", italic(p) == ""5.98e-04"", widehat(italic(""r""))[""Pearson""] == ""0.17"", CI[""95%""] ~ ""["" * ""0.08"", ""0.27"" * ""]"", italic(""n"")[""pairs""] == ""384"")","White-cheeked Barbet","dawn"
"time_from_startTime","detections","Pearson correlation","0.0459657852033073","0.95","-0.0318925556885604","0.123269641411953","1.15861353562892","634","0.247049972290288","Pearson correlation","636","normal","list(italic(""t"")[""Student""] * ""("" * 634 * "")"" == ""1.16"", italic(p) == ""0.25"", widehat(italic(""r""))[""Pearson""] == ""0.05"", CI[""95%""] ~ ""["" * ""-0.03"", ""0.12"" * ""]"", italic(""n"")[""pairs""] == ""636"")","White-cheeked Barbet","dusk"
"time_from_startTime","detections","Pearson correlation","0.0197343367522992","0.95","-0.10769774344385","0.146528447982035","0.303223683742876","236","0.761986528342299","Pearson correlation","238","normal","list(italic(""t"")[""Student""] * ""("" * 236 * "")"" == ""0.30"", italic(p) == ""0.76"", widehat(italic(""r""))[""Pearson""] == ""0.02"", CI[""95%""] ~ ""["" * ""-0.11"", ""0.15"" * ""]"", italic(""n"")[""pairs""] == ""238"")","Crimson-backed Sunbird","dawn"
"time_from_startTime","detections","Pearson correlation","0.264963032983298","0.95","0.131386178519173","0.389090020487828","3.87630835159274","199","0.000143975974252691","Pearson correlation","201","normal","list(italic(""t"")[""Student""] * ""("" * 199 * "")"" == ""3.88"", italic(p) == ""1.44e-04"", widehat(italic(""r""))[""Pearson""] == ""0.26"", CI[""95%""] ~ ""["" * ""0.13"", ""0.39"" * ""]"", italic(""n"")[""pairs""] == ""201"")","Crimson-backed Sunbird","dusk"
"time_from_startTime","detections","Pearson correlation","0.241952784406861","0.95","-0.308553198662433","0.671044123710329","0.899086816042431","13","0.384957537936372","Pearson correlation","15","normal","list(italic(""t"")[""Student""] * ""("" * 13 * "")"" == ""0.90"", italic(p) == ""0.38"", widehat(italic(""r""))[""Pearson""] == ""0.24"", CI[""95%""] ~ ""["" * ""-0.31"", ""0.67"" * ""]"", italic(""n"")[""pairs""] == ""15"")","Crested Serpent-Eagle","dawn"
"time_from_startTime","detections","Pearson correlation","0.080112783960314","0.95","-0.71615037809726","0.785765961607424","0.179715270654564","5","0.864432333194461","Pearson correlation","7","normal","list(italic(""t"")[""Student""] * ""("" * 5 * "")"" == ""0.18"", italic(p) == ""0.86"", widehat(italic(""r""))[""Pearson""] == ""0.08"", CI[""95%""] ~ ""["" * ""-0.72"", ""0.79"" * ""]"", italic(""n"")[""pairs""] == ""7"")","Crested Serpent-Eagle","dusk"
"time_from_startTime","detections","Pearson correlation","0.052186384067382","0.95","-0.0720986813590807","0.174875581909568","0.824610896475634","249","0.410381759326673","Pearson correlation","251","normal","list(italic(""t"")[""Student""] * ""("" * 249 * "")"" == ""0.82"", italic(p) == ""0.41"", widehat(italic(""r""))[""Pearson""] == ""0.05"", CI[""95%""] ~ ""["" * ""-0.07"", ""0.17"" * ""]"", italic(""n"")[""pairs""] == ""251"")","Greenish Warbler","dawn"
"time_from_startTime","detections","Pearson correlation","-0.0237944272984073","0.95","-0.166338250128595","0.119723500515293","-0.324604627356933","186","0.745845103349584","Pearson correlation","188","normal","list(italic(""t"")[""Student""] * ""("" * 186 * "")"" == ""-0.32"", italic(p) == ""0.75"", widehat(italic(""r""))[""Pearson""] == ""-0.02"", CI[""95%""] ~ ""["" * ""-0.17"", ""0.12"" * ""]"", italic(""n"")[""pairs""] == ""188"")","Greenish Warbler","dusk"
"time_from_startTime","detections","Pearson correlation","-0.0392273304482744","0.95","-0.164518125914109","0.0873091912450903","-0.60817529535767","240","0.543646325504307","Pearson correlation","242","normal","list(italic(""t"")[""Student""] * ""("" * 240 * "")"" == ""-0.61"", italic(p) == ""0.54"", widehat(italic(""r""))[""Pearson""] == ""-0.04"", CI[""95%""] ~ ""["" * ""-0.16"", ""0.09"" * ""]"", italic(""n"")[""pairs""] == ""242"")","Greater Racket-tailed Drongo","dawn"
"time_from_startTime","detections","Pearson correlation","0.0336998891084932","0.95","-0.13929448090894","0.204698189292376","0.381487407652024","128","0.703474133831878","Pearson correlation","130","normal","list(italic(""t"")[""Student""] * ""("" * 128 * "")"" == ""0.38"", italic(p) == ""0.70"", widehat(italic(""r""))[""Pearson""] == ""0.03"", CI[""95%""] ~ ""["" * ""-0.14"", ""0.20"" * ""]"", italic(""n"")[""pairs""] == ""130"")","Greater Racket-tailed Drongo","dusk"
"time_from_startTime","detections","Pearson correlation","-0.325888406390685","0.95","-0.420646918645479","-0.224096036121402","-6.13732549588515","317","2.50354048462835e-09","Pearson correlation","319","normal","list(italic(""t"")[""Student""] * ""("" * 317 * "")"" == ""-6.14"", italic(p) == ""2.50e-09"", widehat(italic(""r""))[""Pearson""] == ""-0.33"", CI[""95%""] ~ ""["" * ""-0.42"", ""-0.22"" * ""]"", italic(""n"")[""pairs""] == ""319"")","Malabar Whistling-Thrush","dawn"
"time_from_startTime","detections","Pearson correlation","-0.146910142211474","0.95","-0.239233377995178","-0.0519542727357747","-3.03653180285812","418","0.00254296875390393","Pearson correlation","420","normal","list(italic(""t"")[""Student""] * ""("" * 418 * "")"" == ""-3.04"", italic(p) == ""2.54e-03"", widehat(italic(""r""))[""Pearson""] == ""-0.15"", CI[""95%""] ~ ""["" * ""-0.24"", ""-0.05"" * ""]"", italic(""n"")[""pairs""] == ""420"")","Malabar Whistling-Thrush","dusk"
"time_from_startTime","detections","Pearson correlation","0.0862797618042697","0.95","-0.083262400005337","0.250967659493902","1.00249882044939","134","0.317909607127039","Pearson correlation","136","normal","list(italic(""t"")[""Student""] * ""("" * 134 * "")"" == ""1.00"", italic(p) == ""0.32"", widehat(italic(""r""))[""Pearson""] == ""0.09"", CI[""95%""] ~ ""["" * ""-0.08"", ""0.25"" * ""]"", italic(""n"")[""pairs""] == ""136"")","Square-tailed Bulbul","dawn"
"time_from_startTime","detections","Pearson correlation","0.101915953243883","0.95","-0.0124265458466392","0.213627503082471","1.75365135368326","293","0.0805358529271639","Pearson correlation","295","normal","list(italic(""t"")[""Student""] * ""("" * 293 * "")"" == ""1.75"", italic(p) == ""0.08"", widehat(italic(""r""))[""Pearson""] == ""0.10"", CI[""95%""] ~ ""["" * ""-0.01"", ""0.21"" * ""]"", italic(""n"")[""pairs""] == ""295"")","Square-tailed Bulbul","dusk"
"time_from_startTime","detections","Pearson correlation","-0.110086426651035","0.95","-0.423312098204957","0.226646509372401","-0.64583402539839","34","0.522722149651712","Pearson correlation","36","normal","list(italic(""t"")[""Student""] * ""("" * 34 * "")"" == ""-0.65"", italic(p) == ""0.52"", widehat(italic(""r""))[""Pearson""] == ""-0.11"", CI[""95%""] ~ ""["" * ""-0.42"", ""0.23"" * ""]"", italic(""n"")[""pairs""] == ""36"")","White-bellied Blue Flycatcher","dawn"
"time_from_startTime","detections","Pearson correlation","0.0985062061508883","0.95","-0.184911599406192","0.366796733215194","0.685806478981605","48","0.496134384386983","Pearson correlation","50","normal","list(italic(""t"")[""Student""] * ""("" * 48 * "")"" == ""0.69"", italic(p) == ""0.50"", widehat(italic(""r""))[""Pearson""] == ""0.10"", CI[""95%""] ~ ""["" * ""-0.18"", ""0.37"" * ""]"", italic(""n"")[""pairs""] == ""50"")","White-bellied Blue Flycatcher","dusk"
"time_from_startTime","detections","Pearson correlation","-0.142569624680494","0.95","-0.258196372977707","-0.0229160831227501","-2.34481818644981","265","0.0197747468323002","Pearson correlation","267","normal","list(italic(""t"")[""Student""] * ""("" * 265 * "")"" == ""-2.34"", italic(p) == ""0.02"", widehat(italic(""r""))[""Pearson""] == ""-0.14"", CI[""95%""] ~ ""["" * ""-0.26"", ""-0.02"" * ""]"", italic(""n"")[""pairs""] == ""267"")","Indian White-eye","dawn"
"time_from_startTime","detections","Pearson correlation","0.0193209030089871","0.95","-0.0910311527921465","0.129204219093988","0.34297603303582","315","0.731845260576293","Pearson correlation","317","normal","list(italic(""t"")[""Student""] * ""("" * 315 * "")"" == ""0.34"", italic(p) == ""0.73"", widehat(italic(""r""))[""Pearson""] == ""0.02"", CI[""95%""] ~ ""["" * ""-0.09"", ""0.13"" * ""]"", italic(""n"")[""pairs""] == ""317"")","Indian White-eye","dusk"
"time_from_startTime","detections","Pearson correlation","0.0116899536448252","0.95","-0.200682420735558","0.223012914044114","0.107147516268794","84","0.91492744875949","Pearson correlation","86","normal","list(italic(""t"")[""Student""] * ""("" * 84 * "")"" == ""0.11"", italic(p) == ""0.91"", widehat(italic(""r""))[""Pearson""] == ""0.01"", CI[""95%""] ~ ""["" * ""-0.20"", ""0.22"" * ""]"", italic(""n"")[""pairs""] == ""86"")","Malabar Gray Hornbill","dawn"
"time_from_startTime","detections","Pearson correlation","-0.018632420225138","0.95","-0.139505095458794","0.102787356159041","-0.30049091346423","260","0.764042858318045","Pearson correlation","262","normal","list(italic(""t"")[""Student""] * ""("" * 260 * "")"" == ""-0.30"", italic(p) == ""0.76"", widehat(italic(""r""))[""Pearson""] == ""-0.02"", CI[""95%""] ~ ""["" * ""-0.14"", ""0.10"" * ""]"", italic(""n"")[""pairs""] == ""262"")","Malabar Gray Hornbill","dusk"
