"time_of_day","t_value","slope","slope_dir","r_sq","common_name"
"dawn",-0.695276113776015,-0.415336645334616,"-",-0.00703003757617715,"Ashy Drongo"
"dusk",-0.0584409984624503,-0.0544406415587571,"-",-0.0134667385955269,"Ashy Drongo"
"dawn",2.58821411137524,0.811479276623917,"+",0.00916658003366766,"Crimson-backed Sunbird"
"dusk",4.14391686841594,3.3320402124943,"+",0.0741252018019858,"Crimson-backed Sunbird"
"dawn",-7.94502127757493,-2.02655588641655,"-",0.116527181888548,"Gray Junglefowl"
"dusk",-1.58798219299102,-0.934837488678367,"-",0.0103150084005191,"Gray Junglefowl"
"dawn",-5.25377196578766,-1.38875321447807,"-",0.0528236852446984,"Greater Racket-tailed Drongo"
"dusk",-0.272289131226683,-0.176100665612675,"-",-0.00660977550855502,"Greater Racket-tailed Drongo"
"dawn",-2.71288983857928,-0.864576625140355,"-",0.0127870641003935,"Indian Scimitar-Babbler"
"dusk",-1.63138443941287,-0.911696571558875,"-",0.00832116304286667,"Indian Scimitar-Babbler"
"dawn",0.265539941891658,0.114837918975351,"+",-0.00611222077398055,"Malabar Gray Hornbill"
"dusk",0.41060497017767,0.175003513665746,"+",-0.00303245364077531,"Malabar Gray Hornbill"
"dawn",0.295872699708213,0.127097688851414,"+",-0.0162684855659696,"Oriental Magpie-Robin"
"dusk",2.26498951759007,102,"+",0.673745173745174,"Oriental Magpie-Robin"
"dawn",1.4625846321467,0.316359703634004,"+",0.0014166127849885,"Nilgiri Flowerpecker"
"dusk",3.95359354467168,1.42966758068699,"+",0.0358046879172648,"Nilgiri Flowerpecker"
"dawn",0.00135788016850214,0.000977194955769569,"+",-0.015151486791281,"Purple Sunbird"
"dawn",-3.41157939561344,-1.48357185895314,"-",0.0403539653021008,"Puff-throated Babbler"
"dusk",-0.230423537813036,-0.54652975647959,"-",-0.0429375102646898,"Puff-throated Babbler"
"dawn",0.791043636165412,0.330249512802871,"+",-0.00107350063971268,"Square-tailed Bulbul"
"dusk",2.10424263497414,1.19893158723606,"+",0.0112230669599795,"Square-tailed Bulbul"
"dawn",3.64897188670151,0.858248655499665,"+",0.0128372806465762,"White-cheeked Barbet"
"dusk",1.57962103492557,0.563393455850663,"+",0.00222999748268171,"White-cheeked Barbet"
"dawn",1.29954060585536,0.428701524924675,"+",0.00469569427997485,"Common Iora"
"dusk",-2.31449436372747,-7.84021495508371,"-",0.352587602457767,"Common Iora"
"dawn",2.13920283471051,1.02571880961296,"+",0.0263777054107358,"Common Tailorbird"
"dusk",-1.89915265956081,-1.43984623024766,"-",0.12064642324613,"Common Tailorbird"
"dawn",0.872498058958303,0.425265769404957,"+",-0.00174572206759005,"Large-billed Crow"
"dusk",2.22841714874205,1.73980145356496,"+",0.0266224988845639,"Large-billed Crow"
"dawn",-0.373082501687364,-0.116145140683719,"-",-0.00316312194941593,"Velvet-fronted Nuthatch"
"dusk",-1.65841064464029,-0.85702459665439,"-",0.0278934944495236,"Velvet-fronted Nuthatch"
"dawn",-0.558505073278262,-0.420098420501148,"-",-0.0226997136245937,"White-bellied Treepie"
"dusk",0.865979741237273,1.58631002445331,"+",-0.00934877858469707,"White-bellied Treepie"
"dawn",-0.635077504489685,-0.143682060010271,"-",-0.00098885196702736,"Yellow-browed Bulbul"
"dusk",2.6613254643768,1.33780578474256,"+",0.0194282665124969,"Yellow-browed Bulbul"
"dawn",-2.73783507136937,-0.72427409437615,"-",0.0114061272310927,"Indian White-eye"
"dusk",0.441162400554917,0.187750432190386,"+",-0.00249965603298685,"Indian White-eye"
"dawn",-5.40112969178511,-1.21231017200895,"-",0.044353644352043,"Malabar Whistling-Thrush"
"dusk",-2.85871518049093,-1.09073192420309,"-",0.0157572269487901,"Malabar Whistling-Thrush"
"dawn",0.341854707914982,0.137921635879883,"+",-0.00344817339503645,"Orange-headed Thrush"
"dusk",-1.06370174034093,-0.87001399851397,"-",0.0014916511121833,"Orange-headed Thrush"
"dawn",-0.397678185159811,-0.116651930714439,"-",-0.0013980580748254,"Red-whiskered Bulbul"
"dusk",3.17580673507075,2.00787772428498,"+",0.0279487749392927,"Red-whiskered Bulbul"
"dawn",3.63801140370367,0.91456469208252,"+",0.0315961185368288,"Vernal Hanging-Parrot"
"dusk",-2.71640136429633,-1.13287127928666,"-",0.0300351790268751,"Vernal Hanging-Parrot"
